0|81674593|3
1|658417392|1
1|1592837|1
0|168495|1
1|5376981|1
0|345761|1
1|3196758|1
1|612475938|1
0|169547328|2
0|42713589|1
1|4385719|1
1|736129584|1
1|6493571|2
0|167435|1
1|914723568|1
0|16239574|1
1|9142356|1
1|4387562|2
0|65437192|1
1|2931587|2
0|34217569|1
1|8179523|1
1|914725386|1
1|3921587|1
1|4571938|1
0|75346981|1
0|349675|1
1|27895|1
1|542873961|1
1|914327568|1
1|759826431|1
1|96185|1
1|5673918|2
1|5673981|1
1|1486529|1
1|5837961|1
1|7941563|1
1|9715362|2
1|5837916|1
1|2813965|1
1|7941536|1
1|1974325|2
0|42897135|2
1|1597326|1
1|5273194|1
1|96125|1
1|2931578|2
0|28613975|1
1|1674539|1
1|9523718|1
0|169574|1
1|8367542|2
1|1723589|1
0|81674539|1
1|8539172|1
1|6493581|1
1|7653941|1
1|942871365|1
0|28531967|1
1|9426581|1
0|28615497|1
0|162349|1
1|3841659|1
1|1385794|1
0|753416|1
0|57461938|1
0|81432|1
1|8432795|1
0|81432597|1
1|794153|1
1|7489523|1
1|8713529|1
0|95782634|1
1|8179532|1
1|914723586|1
0|28537946|1
0|167495|2
1|1387529|1
0|16745329|1
1|3196785|1
1|6127495|1
1|4856197|1
1|759823164|1
