0|826317594|1
1|29851376|1
0|5219734|1
1|46852913|1
0|6254913|1
0|6981524|1
1|64852197|1
1|19236758|1
0|7198356|1
0|7298531|1
0|4625173|1
0|3549172|1
0|642713598|1
0|5419372|1
0|3257694|1
0|3457192|4
0|1674539|10
0|5378416|1
0|1659372|6
1|46172359|1
0|7935142|1
1|64935172|1
1|19478356|1
0|4217596|2
0|5912734|1
1|43896571|1
0|7416539|1
0|1632754|2
0|7653918|1
0|9678154|1
0|4285719|1
0|5637192|1
0|246175938|1
0|4286719|1
1|34692157|1
0|5891634|1
1|61239754|1
0|168459372|1
1|67894531|1
0|9278531|1
0|1623584|1
0|813269574|1
0|8135967|1
0|1684592|1
1|46718953|1
0|3496571|2
0|9178356|1
0|7561938|1
0|5734192|1
0|6527391|1
0|1632579|1
